菜品,分类,价格,辣度,主要食材,忌口标签,可用,推荐说明
韩式鱼饼汤,韩式,20,不辣,鱼饼汤,含鱼,是,温热清淡
绿豆汤,甜品,10,不辣,绿豆冰糖,无,是,清凉解暑
银耳莲子羹,滋补类,18,不辣,银耳莲子,无,是,润甜养生
桃胶雪燕,滋补类,25,不辣,桃胶雪燕,无,是,清甜滋润
酒酿圆子,甜品,16,不辣,酒酿糯米圆子,无,是,温润甜香
糯米糍,甜品,14,不辣,糯米椰蓉,含乳,是,软糯甜点
麻薯,甜品,15,不辣,糯米奶油,含乳,是,软糯拉丝
泡芙,甜品,18,不辣,奶油面粉,含乳含麸质,是,奶香酥皮
可颂,甜品,16,不辣,黄油面粉,含乳含麸质,是,酥香早餐
青菜瘦肉粥,粥类,16,不辣,青菜猪肉大米,含肉,是,清淡暖胃
鱼片粥,粥类,25,不辣,鱼片大米,含鱼,是,鲜嫩养胃
虾仁粥,粥类,26,不辣,虾仁大米,含虾,是,鲜甜暖胃
南瓜粥,粥类,10,不辣,南瓜大米,无,是,香甜温和
人参鸡汤,滋补类,58,不辣,鸡肉人参,含肉,是,滋补暖身
虫草花排骨汤,滋补类,42,不辣,排骨虫草花,含肉,是,鲜美滋补
莲子百合羹,滋补类,20,不辣,莲子百合,无,是,清甜润口
枸杞菊花饮,养生茶,15,不辣,枸杞菊花,无,是,清香舒缓
山楂陈皮茶,养生茶,16,不辣,山楂陈皮,无,是,酸香解腻
牛肉煎包,包子,6,不辣,牛肉面粉,含肉含麸质,是,底部酥脆
生煎包,包子,18,不辣,猪肉面皮,含肉含麸质,是,皮薄汁多
灌汤包,包子,22,不辣,猪肉面皮,含肉含麸质,是,汤汁丰富
水煎包,包子,16,不辣,猪肉白菜面粉,含肉含麸质,是,外焦里嫩
素三鲜包,包子,4,不辣,韭菜鸡蛋木耳,含蛋,是,鲜香素馅
香辣鸡柳,炸类,20,中辣,鸡肉辣椒,含肉,是,香辣酥脆
盐酥鸡,炸类,22,微辣,鸡肉九层塔,含肉,是,台湾小吃
炸虾,炸类,28,不辣,虾面糊,含虾含麸质,是,外酥鲜嫩
炸鱼排,炸类,26,不辣,鱼肉面糊,含鱼含麸质,是,酥脆鲜香
炸芝士条,炸类,18,不辣,芝士面糊,含乳含麸质,是,拉丝小食
口水鸡,川菜,26,微辣,鸡肉花生辣油,含肉含花生,是,麻辣鲜香
蒜泥白肉,川菜,25,微辣,猪肉蒜泥,含肉,是,蒜香下饭
夫妻肺片,川菜,30,中辣,牛肉内脏花生,含肉含花生,是,麻辣冷盘
酸辣鸡杂,湘菜,26,中辣,鸡杂泡椒,含肉,是,酸辣下饭
剁椒鸡蛋,湘菜,18,中辣,鸡蛋剁椒,含蛋,是,香辣下饭
蓝莓酸奶杯,甜品,20,不辣,蓝莓酸奶燕麦,含乳含麸质,是,酸甜轻食
芒果酸奶杯,甜品,22,不辣,芒果酸奶燕麦,含乳含麸质,是,果香清爽
坚果酸奶杯,甜品,24,不辣,酸奶坚果燕麦,含乳含坚果,是,香脆饱腹
蜂蜜柠檬水,饮品,10,不辣,柠檬蜂蜜,含蜂蜜,是,酸甜解渴
冰镇酸梅汤,饮品,12,不辣,乌梅山楂冰糖,无,是,酸甜消暑
